source_raw,source_type,relation,target_raw,target_type,source_chunk_id,published_date,evidence,confidence
AXIS Capital Holdings Limited,Company,LEADS,Andy Maher,Person,1d7e5132da8c57675a76::c0000,2022-12-09,AXIS Capital Holdings Limited announced today that Andy Maher has been appointed Head of Cyber and Technology.,1.0
CoolSys,Company,ACQUIRED,1GNITE,Company,7518983875956cf9c51e::c0000,2023-08-08,CoolSys which is backed by Ares Management has acquired 1GNITE.,1.0
NCUA,Company,DEVELOPED,Financial Technology and Access Team,Technology,0e422b7481dce69123cb::c0000,2023-01-06,NCUA Names Director of New Financial Technology and Access Team.,1.0
OpenAI,Company,DEVELOPED,open-source language model,Technology,9327e9c95eaa66cb4b94::c0000,2023-05-15,OpenAI is preparing to release a new open-source language model to the public.,1.0
L&T Technology Services Limited,Company,FOUNDED,engineering research and development services,Technology,5c000f3a9d25c38d7d58::c0000,2023-07-07,L&T Technology Services Limited is an India-based engineering research and development services company.,1.0
Symbiotic,Company,PARTNERED_WITH,SoftBank,Company,54b41f69ddb15bec3c4d::c0000,2023-09-24,Symbiotic is relying on a new joint venture with its other big backer SoftBank.,1.0
Symbiotic,Company,USES,Walmart,Company,54b41f69ddb15bec3c4d::c0000,2023-09-24,Symbiotic generates most of its revenue from Walmart.,1.0
Malta Information Technology Agency,Company,PARTNERED_WITH,Esri,Company,afd2ee3f8ae5a1336b9f::c0000,2023-02-17,Esri Signs Agreement with Malta Providing Access to GIS Technology Training.,1.0
Infineon,Company,PARTNERED_WITH,Resonac,Company,181b0d81898358e6793d::c0000,2023-01-12,Infineon and Resonac expand SiC cooperation.,1.0
Syndio,Company,DEVELOPED,PayEQ,Technology,70a9ec70493ed4a7faf1::c0000,2023-03-07,Through Syndio's landmark PayEQ and a suite of products and services.,1.0
Jason Snyder,Person,WORKED_AT,Harvard,Company,ad086ce259b4a5bfb0a2::c0000,2023-01-04,Jason Snyder is currently the Chief Technology Officer at Harvard.,1.0
Biz Technology Solutions,Company,PARTNERED_WITH,New Charter Technologies,Company,89d87a7bc0fe426ec873::c0000,2023-03-20,Managed IT Services Provider Biz Technology Solutions Enters Into Partnership With New Charter Technologies.,1.0
Lessen,Company,ACQUIRED,Chicago company,Company,d6f9953716344339e832::c0000,2023-01-12,Lessen stretches reach nationally with acquisition of Chicago company.,1.0
Olivia Igbokwe-Curry,Person,WORKED_AT,Amazon Web Services,Company,cff99781089196247006::c0000,2023-05-17,Olivia Igbokwe-Curry Amazon Web Services.,1.0
Chris Soong,Person,WORKED_AT,HII,Company,bef5955953ad8b9538c1::c0000,2023-01-24,HII has promoted a new chief information officer from the company's own ranks in Chris Soong.,1.0
Cass Information Systems Inc.,Company,WORKED_AT,C-suite,Technology,9455b5ed73fc59e6b5bd::c0000,2023-02-17,Cass Information Systems Inc. announced a promotion Friday to fill its top C-suite post.,0.9
3CLogic,Company,PARTNERED_WITH,ServiceNow,Technology,61a1c40b921f530a0072::c0000,2023-03-16,CLogic the leading voice-enabling and cloud contact center solution for ServiceNow® today announced its gold-level sponsorship.,0.9
L&T Technology Services Ltd,Company,ACQUIRED,Smart World & Communication (SWC) business,Company,e72f68c2e141879b6b58::c0000,2023-01-13,L&T Technology Services Ltd will acquire the Smart World & Communication (SWC) business of Larsen & Toubro Ltd (L&T).,0.9
ILUS International Inc.,Company,DEVELOPED,IED Detection Technology,Technology,624af078e7889a343ee9::c0000,2023-05-10,ILUS Defence Subsidiary Hyperion Defence Solutions Signs Exclusive Global Distribution Agreement for Revolutionary IED Detection Technology.,0.9
Dash Solutions,Company,ACQUIRED,KyckGlobal,Company,8f045fc8258f8511cae4::c0000,2023-08-30,Dash Solutions acquired KyckGlobal a financial technology company and payments platform.,1.0
Syneos Health,Company,ACQUIRED,Private Investment Consortium,Company,787fdcddec5d638accde::c0000,2023-05-10,Syneos Health to be Acquired by a Private Investment Consortium for Approximately $7.1 Billion.,1.0
Hywin,Company,DEVELOPED,WealthTech Platform,Technology,4fbb6af96dd246761913::c0000,2023-04-08,Hywin Launches WealthTech Platform to Enhance its Services for High-Net-Worth Clients.,1.0
Hywin,Company,USES,IBM Technology,Technology,4fbb6af96dd246761913::c0000,2023-04-08,We chose IBM because IBM share our agile development philosophy.,1.0
Ian Au-Yeung,Person,WORKED_AT,Synoptek,Company,33b7d62c89b0a8136829::c0000,2023-04-10,Synoptek Appoints Ian Au-Yeung as Chief Revenue Officer.,1.0
Zane State College,Company,PARTNERED_WITH,Ohio College Tech Prep,Company,816955ffd6dbf6ec0f5f::c0000,2023-05-27,Zane State College has partnered with Ohio College Tech Prep to build and foster relationships.,1.0
Pankaj Vyas,Person,LEADS,Siemens Technology and Services Pvt. Ltd.,Company,12ebdda3acda65d9fde8::c0000,2022-12-03,Pankaj Vyas CEO & MD Siemens Technology and Services Pvt. Ltd.,0.9
ALTEN,Company,ACQUIRED,Accord Global Technology Solutions,Company,4bfba24dd1ac10a68b01::c0000,2023-08-02,ALTEN acquires Accord Global Technology Solutions an engineering services company based out of India.,1.0
Options Technology,Company,PARTNERED_WITH,Microsoft,Company,f73febf774301e802436::c0000,2023-06-08,Options Named Microsoft Solutions Partner for Security.,1.0
Trulioo,Company,PARTNERED_WITH,Beedie Luminaries,Company,d59999646b30a7138433::c0000,2022-12-21,Trulioo a leading global digital identity verification platform is partnering with Beedie Luminaries.,1.0
Sym-Tech Dealer Services,Company,ACQUIRED,SSQ Dealer Services,Company,afe56b16ac4189e5da2c::c0000,2023-02-23,Sym-Tech Dealer Services Acquires SSQ Dealer Services From Beneva.,1.0
Odysight.ai,Company,DEVELOPED,visual sensing and video analytics-based predictive maintenance technology,Technology,d68a5065b1d78e7173b4::c0000,2023-06-12,Odysight.ai's visual sensing and video analytics-based predictive maintenance technology is of paramount importance for operators of aviation system platforms.,1.0
Sensormatic Solutions,Company,PARTNERED_WITH,Zliide,Company,adb56add69f473fc4105::c0000,2023-01-16,Sensormatic Solutions... announced its collaboration with Zliide...,1.0
Johnson Controls,Company,WORKED_AT,Sensormatic Solutions,Company,adb56add69f473fc4105::c0000,2023-01-16,Sensormatic Solutions the leading global retail solutions portfolio of Johnson Controls...,1.0
Stanbic IBTC,Company,DEVELOPED,payment solutions provider,Technology,5cc1eb8ec8e396285896::c0000,2023-05-18,The subsidiary will function primarily as a payment solutions provider...,1.0
Vodafone Idea,Company,USES,5G technology,Technology,68c13dcf3b5f29e1fdd9::c0000,2023-05-17,Vodafone Idea could launch 5G services in India...,1.0
Tyler Technologies,Company,ACQUIRED,Computing System Innovations,Company,ce379088171622825211::c0000,2023-08-08,Tyler Technologies Acquires Computing System Innovations Bolstering its AI-Powered Portfolio for the Public Sector.,1.0
Amazon Web Services,Company,PARTNERED_WITH,Cerro Coso Community College,Company,d919f8d2254f218864e6::c0000,2023-01-13,Cerro Coso Community College in partnership with a grant from Amazon Web Services (AWS)...,1.0
Aran Azarzar,Person,WORKED_AT,JFrog,Company,14d1a019718a11937f3d::c0000,2023-03-31,JFrog Welcomes Seasoned Technology and Security Leader Aran Azarzar as Chief Information Officer.,1.0
Shlomi Ben Haim,Person,LEADS,JFrog,Company,14d1a019718a11937f3d::c0000,2023-03-31,reporting directly to co-Founder and CEO Shlomi Ben Haim.,1.0
TRG,Company,ACQUIRED,Symec Technologies Limited,Company,db567fbc3ecaf164a9d2::c0000,2023-04-06,TRG has acquired Symec Technologies Limited.,1.0
EY Global Services,Company,PARTNERED_WITH,IBM,Company,b35a64238e1c1756dd99::c0000,2023-04-14,EY Global Services will be joining the IBM Quantum Network.,1.0
Zayo Group Holdings Inc.,Company,DEVELOPED,fastest direct network route,Technology,a0e517a3b0f50dcebc81::c0000,2023-04-13,Zayo announces the fastest direct network route connecting Manchester to New York.,1.0
L&T Technology Services Limited,Company,PARTNERED_WITH,Ansys,Company,f726b48028b1dc9213af::c0000,2023-03-31,L&T Technology Services and Ansys have signed an MOU to establish the LTTS-Ansys Center.,1.0
Hakimo,Company,DEVELOPED,AI Solution,Technology,872ab62a217b3d512b3d::c0000,2022-12-17,Hakimo AI Solution Completes Test and Evaluation by Safe Skies.,1.0
Steve Bisciotti,Person,FOUNDED,Allegis Group,Company,e2ba521212fdf3954467::c0000,2022-12-07,Allegis Group grew out of a technology firm co-founded by Steve Bisciotti.,1.0
TRG,Company,ACQUIRED,Symec Technologies Limited,Company,666c68f449cc6b887c12::c0000,2023-04-06,TRG has acquired Symec Technologies Limited.,1.0
Swave Photonics,Company,WORKED_AT,Andrew Repton,Person,e5894f5190f3e547338a::c0000,2023-05-25,Swave Photonics adds Andrew Repton as Vice President of IC Design.,1.0
Intelli-Systems,Company,LEADS,Joseph Vijay,Person,cb1c1f25b36af06749c5::c0000,2023-08-01,Interview with Intelli-Systems CEO Joseph Vijay.,1.0
Fidelity National Information Services,Company,ACQUIRED,Worldpay,Company,764d2ab4e6c19eb2b0dc::c0000,2023-07-17,Fidelity National Information Services Inc. has announced the sale of a majority stake in Worldpay.,1.0
IR,Company,USES,ServiceNow,Technology,d485e4fd1e196847d108::c0000,2023-05-31,IR streamlines alerts management with ServiceNow integration.,1.0
Ministry of Electronics and Information Technology,Company,PARTNERED_WITH,state law enforcement agencies,Company,03fa49b4bb66ddcd9b0c::c0000,2023-03-31,The MHA has shared the list of these 117 apps with Ministry of Electronics and Information Technology (MeITY) and state law enforcement agencies.,1.0
Jungheinrich AG,Company,ACQUIRED,Storage Solutions group,Company,6c6d0b8f252266fdcab3::c0000,2023-01-25,Jungheinrich AG to acquire Indiana-based Storage Solutions group.,1.0
Tyemill,Company,ACQUIRED,Syntax,Company,b8b94c2495aad7393bb6::c0000,2023-04-19,Seattle-based research software company Tyemill has been acquired by Syntax an investment analytics company.,1.0
Nokia,Company,PARTNERED_WITH,Graybar,Company,f09058baf99423abf9a4::c0000,2023-10-04,Nokia announced it is launching Autonomous Inventory Monitoring Service (AIMS) with Graybar.,1.0
Mouser Electronics,Company,PARTNERED_WITH,Siemens,Company,12954de9eba2b977821f::c0000,2023-10-30,Mouser Electronics Partners with Siemens on Distribution Agreement for Industrial Automation Solutions.,1.0
Tokyo University of Agriculture and Technology,Company,FOUNDED,1949,Technology,a3a9216f64a2295087f6::c0000,2023-03-07,Founded in 1949 Tokyo University of Agriculture and Technology (TUAT) is a public university.,1.0
Kate Zabriskie,Person,WORKED_AT,Business Training Works Inc.,Company,7fb6b619633a3409bf24::c0000,2023-07-14,Kate Zabriskie is the president of Business Training Works Inc.,1.0
Zerify Inc.,Company,PARTNERED_WITH,TD SYNNEX,Company,9c0927b56d20224be422::c0000,2023-06-21,Zerify Announces Partnership with Global IT Solutions Aggregator TD SYNNEX.,1.0
KPN,Company,ACQUIRED,Youfone’s Dutch operations,Company,2d80011baea517699c83::c0000,2023-06-23,Rotterdam’s telecommunications firm KPN acquires Youfone’s Dutch operations for €200M.,1.0
Fidelity National Information Services,Company,WORKED_AT,RBC Capital,Company,f007f0b8e5875e205bc8::c0000,2023-07-10,RBC Capital Maintains Fidelity National Information Services (FIS) Outperform Recommendation.,1.0
Capellán,Person,LEADS,information technology,Technology,a3130d09023096d06430::c0000,2023-07-11,As CIO Capellán “will lead efforts to improve online services and user experience ...,1.0
Intetics,Company,DEVELOPED,AI integrated virtual try-on solution,Technology,8074b9c660927637aa26::c0000,2023-08-29,Intetics a leading American technology company introduces AI integrated virtual try-on solution.,1.0
ServiceNow,Company,DEVELOPED,Case Summarization and Text-to-Code,Technology,888196b6e1e07e67c3ae::c0000,2023-07-26,ServiceNow Expands Generative AI Capabilities With Case Summarization and Text-to-Code,1.0
ServiceNow,Company,USES,Now Assist,Technology,888196b6e1e07e67c3ae::c0000,2023-07-26,Now Assist family of generative AI features being infused into the ServiceNow platform,1.0
ICZOOM Group Inc.,Company,PARTNERED_WITH,Shenzhen Yongyutai Electronics Co. Ltd,Company,f8b4935419960bff0e27::c0000,2023-06-02,ICZOOM Group Inc. Welcomes KUU & YONGYUTAI Onto Its Electronic Component E-Commerce Platform,1.0
EPFL,Company,DEVELOPED,Novel Biosensor,Technology,e1aebd34ff2e53de90af::c0000,2023-07-17,EPFL researchers have made a significant step forward in diagnosing neurodegenerative diseases,1.0
IRIS Software Group,Company,DEVELOPED,IRIS Outsourcing,Technology,ea93adc60b4f392c193c::c0000,2023-09-05,IRIS Software Group is today launching IRIS Outsourcing for accounting firms,1.0
Nuance,Company,USES,ambient NLP,Technology,566661b53200aef994ae::c0000,2023-06-18,ambient NLP is still in its infancy and is moving very quickly.,1.0
Keysight Technologies Inc.,Company,PARTNERED_WITH,Synopsys Inc.,Company,7e488d38de19ca347679::c0000,2023-09-25,Keysight Technologies Inc. recently announced that it has collaborated with Synopsys Inc. to develop an enhanced cybersecurity validation solution.,1.0
Smart Eye,Company,PARTNERED_WITH,Geotab,Company,5832bc05d213a6d34e84::c0000,2023-09-05,Smart Eye announced the integration of AIS with Geotab's industry-leading fleet management platform.,1.0
National University of Singapore,Company,DEVELOPED,eAir,Technology,4abab6c92b7f1f15536d::c0000,2023-08-18,Researchers at the National University of Singapore have developed a novel aero-elastic pressure sensor called 'eAir.',1.0
Spectros Medical Devices,Company,DEVELOPED,Tissue Monitoring Technology,Technology,2a846720bb6753332c82::c0000,2023-06-01,Spectros Medical Devices a leader in non-invasive sensing and remote monitoring has pioneered Tissue Monitoring Technology.,1.0
Blue Solutions,Company,PARTNERED_WITH,Hon Hai Technology Group (Foxconn),Company,ada7c8ccde65d5be7f9f::c0000,2023-10-20,Blue Solutions has signed a memorandum of understanding with Hon Hai Technology Group (Foxconn) to jointly develop a solid-state battery ecosystem.,1.0
thyssenkrupp,Company,PARTNERED_WITH,Samotics,Company,055f0f90cdaeb1b6cd52::c0000,2023-10-04,thyssenkrupp Selects Samotics to Increase Reliability and Sustainability of Its Steel Manufacturing Process.,1.0
James Kroes,Person,WORKED_AT,Boise State University,Company,fd62be34a2446e1eeffe::c0000,2023-04-05,James Kroes is a Professor in the Information Technology and Supply Chain Management department at Boise State University.,1.0
SysLogic,Company,LEADS,Ghostscale,Company,e755ff895451dd119565::c0000,2023-10-03,SysLogic CEO helps co-found new Madison-based cybersecurity consultancy Ghostscale.,1.0
Christina Mee,Person,WORKED_AT,Insight Technology Solutions,Company,5e5ec9cf4ba2477dc195::c0000,2023-04-05,Christina Mee has been named vice president of mission services at Insight Technology Solutions.,1.0
UKAEA,Company,PARTNERED_WITH,University of Sheffield,Company,3edc81187e2b083df385::c0000,2023-03-09,UKAEA and University of Sheffield partnership to drive fusion technology.,1.0
UST,Company,PARTNERED_WITH,Hyro,Company,27fc4745f1fe70a31e8d::c0000,2023-10-04,UST Partners with Hyro to Integrate Enhanced Conversational AI Capabilities.,1.0
Texas A&M AgriLife Research,Company,DEVELOPED,sensor chip,Technology,d5b5de47fdf6517fa2b0::c0000,2023-06-21,Texas A&M AgriLife Research scientists and collaborators at Iowa State University have developed a sensor chip.,1.0
Wiliot,Company,DEVELOPED,humidity sensing technology,Technology,ec51a73255a3b58165a3::c0000,2023-10-03,Wiliot is adding humidity for moisture-sensitive products.,1.0
Alight Inc.,Company,DEVELOPED,behavioral health navigation services,Technology,5240d4cf74965bb413d5::c0000,2023-06-08,Alight launches new behavioral health navigation services aimed at supporting individuals and families with complex or severe needs.,1.0
Syndio,Company,PARTNERED_WITH,Broadridge,Company,b6246bf630731b90f633::c0000,2023-01-11,"Syndio Partners with Broadridge for Pay Equity as Financial Services Sector Looks to Deliver on the '""S'"" in ESG",1.0
Jay Dominick,Person,WORKED_AT,Princeton,Company,2fea4b9de0a2272d033d::c0000,2023-08-11,Jay Dominick will retire as VP for information technology and CIO.,1.0
AlarMax Distributors,Company,ACQUIRED,Northern Sound & Light,Company,30541cf5c284c7ac86da::c0000,2023-04-06,AlarMax Distributors acquires Northern Sound & Light.,1.0
Hyperscience,Company,LEADS,Andrew Joiner,Person,97d559b170730ab70d75::c0000,2023-04-30,Hyperscience is pleased to announce the appointment of Andrew Joiner as its new Chief Executive Officer.,1.0
EarthSense,Company,PARTNERED_WITH,Telent Technology Services,Company,2abdfd676f2a64e7b735::c0000,2023-08-24,EarthSense will be supplying Telent Technology Services with its Zephyr air quality monitors.,1.0
TotalEnergies,Company,INVESTED_IN,Unabiz,Company,2e1e1945ffa808bd3a8a::c0000,2023-09-20,TotalEnergies has appointed Unabiz to install Sigfox-based IoT sensors.,1.0
ServiceMaster CDR,Company,ACQUIRED,ServiceMaster by Lewis,Company,a56e8c2e61cbad0ff887::c0000,2023-05-04,ServiceMaster CDR is pleased to announce that it has completed its strategic acquisition of ServiceMaster by Lewis.,1.0
Aakanksha Bhargava,Person,WORKED_AT,PM Relocations Pvt. Ltd.,Company,764d5376f108bbafdf93::c0000,2023-04-12,We sit down with Aakanksha Bhargava CEO PM Relocations Pvt. Ltd.,1.0
Aitelecom/APCO Networks,Company,USES,Mx-DMA® MRC waveform technology,Technology,2556db755e8717c4ad9b::c0000,2023-03-17,ST Engineering iDirect’s leading Mx-DMA® MRC waveform technology will enable Mexican connectivity service provider Aitelecom/APCO Networks to support services.,0.9
Lloyds Banking Group,Company,FOUNDED,Technology Centre,Technology,b13318ad0fdbc3dac71f::c0000,2023-06-21,Lloyds Banking Group announced its decision to set up a new technology centre.,0.8
Evolve Information Solutions,Company,PARTNERED_WITH,Priority Software,Company,61d4287d7202db592481::c0000,2023-09-25,Evolve Information Solutions Announces New Reseller Agreement with Priority Software.,0.85
Kearney,Company,WORKED_AT,Supply Chain Institute,Technology,d4134100173aefa8594b::c0000,2023-04-11,Kearney unites research efforts under Supply Chain Institute.,0.75
Novacoast,Company,USES,OpenAI GPT-3,Technology,36a8148cf52ee8387769::c0000,2023-02-09,Novacoast Is Deploying OpenAI Chatbot Technology To Its 400-Person Security Services Team.,1.0
Zayo Group,Company,DEVELOPED,400G European Network,Technology,c5630416eb57c148b33e::c0000,2023-09-26,Zayo Group a global communications infrastructure provider announced that its future-ready network in Europe is fully 400G enabled.,1.0
Information Services Group,Company,LEADS,global technology research and advisory firm,Company,cf05c27362ba963d4cfe::c0000,2023-09-05,Information Services Group (ISG) a leading global technology research and advisory firm.,1.0
DXC Technology,Company,DEVELOPED,Metaverse,Technology,fe0f4c0f63e8beb5a9ae::c0000,2022-12-14,DXC Technology Identifies Five Ways the Metaverse will Transform Lives and Business,0.9
Masters’ Union,Company,FOUNDED,Undergraduate Programme in Technology and Business Management,Technology,7f1ced824c038c2d04c0::c0000,2023-01-15,Masters’ Union launches UG Programme in Technology and Business Management,0.8
Yotta,Company,PARTNERED_WITH,Sunstone,Company,ad18b8cf38faf630f3e3::c0000,2023-04-25,Yotta and Sunstone partner to offer commercial storage solutions,0.9
Signet FCU,Company,PARTNERED_WITH,OMNICOMMANDER,Company,352d11baf7163d388649::c0000,2023-02-23,Signet FCU and OMNICOMMANDER® Renew Their Partnership,0.9
Technical Safety Services,Company,ACQUIRED,Precision Air Technology,Company,d7e36d883b418591ceb4::c0000,2023-04-12,Technical Safety Services (“TSS” or the “Company”) announced that it has acquired Precision Air Technology.,1.0
Levine Leichtman Capital Partners,Company,INVESTED_IN,Technical Safety Services,Company,d7e36d883b418591ceb4::c0000,2023-04-12,Technical Safety Services is a portfolio company of Levine Leichtman Capital Partners.,1.0
Crisp,Company,ACQUIRED,Integral Group,Company,70f7199c8785888e4350::c0000,2023-01-31,Crisp has announced its acquisition of Electronic Data Interchange (EDI) platform Integral Group.,1.0
Aeris,Company,ACQUIRED,IoT business from Ericsson,Technology,f8d4c1e3cfe2f61e23f7::c0000,2023-01-10,Aeris to acquire IoT business from Ericsson.,1.0
ServiceNow,Company,DEVELOPED,Generative AI Solution,Technology,84b909fc526ba22d835f::c0000,2023-06-13,ServiceNow Unveils Generative AI Solution With Real-Time Conversational Experiences.,1.0
ServiceNow Inc.,Company,DEVELOPED,Now platform,Technology,3a1191cd49142548e77e::c0000,2023-03-22,ServiceNow Inc. is rolling out a new version of its Now platform.,1.0
Synergy Home LLC,Company,ACQUIRED,Sorg Heating and Cooling LLC,Company,6f822e88143b3b1c2f66::c0000,2023-03-21,Synergy Home LLC acquires Sorg Heating and Cooling LLC.,1.0
DWF Labs,Company,INVESTED_IN,SENSO Token,Technology,6d7dd931b125bd4124db::c0000,2023-04-06,Sensorium has secured a seven-figure purchase of SENSO tokens from DWF Labs.,1.0
CDW,Company,PARTNERED_WITH,Samsung,Company,63ee219843b44980ca73::c0000,2022-12-20,CDW and Samsung are working together with First Tee — Greater Detroit.,1.0
Smart Eye,Company,DEVELOPED,Driver Monitoring System,Technology,720cb306ea1b5063a9c2::c0000,2023-07-07,Smart Eye's Driver Monitoring System monitors vital signs.,1.0
SplitMetrics,Company,DEVELOPED,Bid Optimization Strategy Tools,Technology,8aee8925f2dc182d9423::c0000,2023-03-23,SplitMetrics Unveils Bid Optimization Strategy Tools for Advanced Apple Search Ads Automation and Optimization.,1.0
Eko,Company,DEVELOPED,SENSORA™ Cardiac Disease Detection Platform,Technology,cb01aa79d2b52eead26a::c0000,2023-02-23,Eko a digital health company applying artificial intelligence (AI) in the fight against heart and lung disease today announced the launch of the SENSORA™ Cardiac Disease Detection Platform.,1.0
SC Ventures,Company,PARTNERED_WITH,Yabx,Company,d03dc2a030ee895ce9eb::c0000,2023-02-13,SC Ventures partners with Yabx to expand access to Financial Services in Africa.,1.0
StoreDot,Company,PARTNERED_WITH,VinES,Company,c4f95395629d57b8e212::c0000,2023-04-21,StoreDot is partnering with VinES to develop XFC battery cells and plan for commercialisation.,1.0
Samsung Electronics Co. Ltd.,Company,DEVELOPED,advanced semiconductor technology,Technology,8e58296629f84469cd8d::c0000,2023-10-05,Samsung Electronics Co. Ltd. a world leader in advanced semiconductor technology today unveiled its latest innovations in analog and logic semiconductor technologies.,1.0
Boxed Inc.,Company,DEVELOPED,Spresso,Technology,426f410b850963e21108::c0000,2023-01-10,Boxed Inc. ... announced that Spresso its SaaS modular solution ...,1.0
Dell Technologies Inc.,Company,DEVELOPED,Apex Cloud Platforms,Technology,e826dd76339fcf0d6a9b::c0000,2023-05-26,Dell Technologies Inc. aims to simplify operations address skills gaps and support customers’ diverse needs. The new Apex Cloud Platforms integrates services from Microsoft Azure.,0.9
JPMorgan Asset Management,Company,USES,Vestwell's technology,Technology,1881ca53e251b9e5a212::c0000,2023-05-12,JPMorgan Asset Management will be using Vestwell's technology to run JPMorgan's Everyday 401(k).,0.9
HENSOLDT,Company,DEVELOPED,AMPS Solution,Technology,afd605787f8a6b2b9e0c::c0000,2023-06-23,Using self-protection sensor technology AMPS Solution from HENSOLDT shields Ukrainian Armed Forces from missile threats.,0.9
Dell,Company,DEVELOPED,health technology,Technology,ae1e56a24cda1ca99cf2::c0000,2023-02-14,Dell has recently shifted mostly to focus on health technology.,0.9
CareCloud,Company,WORKED_AT,Nasdaq: CCLD CCLDP CCLDO,Technology,2f4e335156ad792a4c53::c0000,2023-03-15,About CareCloud CareCloud (Nasdaq: CCLD CCLDP CCLDO) brings disciplined innovation to the business of healthcare.,0.8
VIDAA,Technology,PARTNERED_WITH,Amdocs' Vubiquity Technology and Services,Technology,6b2e9ccdc46e20c5c4a7::c0000,2023-08-02,VIDAA the TV Operating System of Hisense Selects Amdocs' Vubiquity Technology and Services.,0.85
Manitoulin Health Centre,Company,USES,One Health Information Technology Service,Technology,88fd003ab7290f7eece6::c0000,2023-01-31,Manitoulin Health Centre implements the One Health Information Technology Service.,0.9
World Cinema,Company,PARTNERED_WITH,ServiceNow,Company,8b39c479a35e3bd8ae41::c0000,2023-03-22,World Cinema and ServiceNow Spearhead Technology Service Transformation,1.0
ServiceNow,Company,PARTNERED_WITH,World Cinema,Company,7b80b058b0275154b650::c0000,2023-03-22,ServiceNow will help streamline operations for customer service agents,1.0
Aarul Malviya,Person,FOUNDED,Zamit,Company,3f68a1fdd6dae5b217c7::c0000,2023-03-22,Aarul Malviya Founder & founder of Zamit,1.0
White House,Company,PARTNERED_WITH,tech manufacturers,Company,6a996e0070711b7ce493::c0000,2023-07-18,White House partners with tech manufacturers retailers,1.0
Mark Huxtable,Person,WORKED_AT,Spar,Company,5c71074e209035d913ad::c0000,2023-09-16,Spar's chief information technology executive Mark Huxtable has resigned,1.0
Elizabethtown College,Company,USES,KITRO,Technology,10829cabf1b90618acda::c0000,2023-10-11,Elizabethtown College is using new technology to achieve that. 'Elizabethtown College are the first college in the United States to utilize KITRO',1.0
Bard AI,Technology,DEVELOPED,Google,Company,d0205e9e38f0eceba041::c0000,2023-10-03,Google on Tuesday added newer capabilities to its generative AI service Bard.,1.0
Fidelity National Information Services,Company,DEVELOPED,technology,Technology,c67ab0888373fc766bc0::c0000,2023-04-28,FIS is a leading provider of technology,1.0
Pure Storage,Company,DEVELOPED,'flash' lineup,Technology,932a5ee3887c7ed3fac7::c0000,2023-06-15,US tech company Pure Storage upgrades its 'flash' lineup.,0.9
Polymer Technology and Services LLC,Company,DEVELOPED,Tristar range of flame-retardant polycarbonates,Technology,dcf93a92b1cc48cf5dac::c0000,2023-03-02,Polymer Technology and Services expands Tristar range of flame-retardant polycarbonates.,0.9
Ultra Wideband 5G technology,Technology,USES,5G Home Internet service,Technology,a2c63eea2f546e1938f4::c0000,2023-05-09,service which uses Ultra Wideband 5G technology.,0.9
Kotozna Inc.,Company,PARTNERED_WITH,Samoon Information Technology,Company,d6897e0aa02e77a7bb6b::c0000,2023-07-19,Kotozna Inc. forms business alliance with Samoon Information Technology to start sales of Kotozna In-Room in Saudi Arabia.,1.0
Rebellion,Company,FOUNDED,2019,Technology,a67ee0f9e0b5459da9f9::c0000,2022-12-14,Founded in 2019 Rebellion wants to create AI-powered software for the military.,1.0
ENT Partners LLC,Company,ACQUIRED,Southern Indiana ENT & Indianapolis Sinus Center,Company,b1f09f4a662c56bacb02::c0000,2023-07-26,ENT Partners Announces Acquisition of Southern Indiana ENT & Indianapolis Sinus Center.,1.0
SYSTRA,Company,ACQUIRED,Atkins SNC-Lavalin Group,Company,94885fec37d30dfc4fa2::c0000,2023-08-31,SYSTRA has finalised the acquisition of the Swedish Danish and Norwegian entities of Atkins SNC-Lavalin Group.,1.0
K2 Services,Company,PARTNERED_WITH,ServiceNow,Company,9afa0bbc09c07feac9d9::c0000,2023-08-30,K2 Services and ServiceNow partner to advance digital transformation for the legal industry.,1.0
Ant Group Co.,Company,DEVELOPED,large-language model technology,Technology,b5c1daa01f4aa31929bb::c0000,2023-06-21,Jack Ma-backed Ant Group Co. is developing large-language model technology.,1.0
G-P,Company,PARTNERED_WITH,UKG,Company,5803108ba5a3b18f9745::c0000,2023-03-21,G-P and UKG Announce Technology Integration Partnership.,1.0
Tracy Pennycuick,Person,LEADS,Senate Communications and Technology Committee,Technology,b66aea86e102380ead4b::c0000,2023-01-11,Tracy Pennycuick has been appointed majority chairwoman of the Senate Communications and Technology Committee.,1.0
Microsoft,Company,USES,cybersecurity measures,Technology,3ddab1f0287c42d1f378::c0000,2023-06-18,Microsoft said the outages were the result of cyberattacks.,1.0
USC Information Sciences Institute,Company,PARTNERED_WITH,SkyWater Technology,Company,f300f00994d00853e1b5::c0000,2022-12-02,The MOSIS Service of the Information Sciences Institute University of Southern California and SkyWater Technology ... announced a ...,0.9
Satya Nadella,Person,LEADS,Microsoft,Company,a3a6eb47dce536f6842f::c0000,2023-01-03,Microsoft Chairman and CEO Satya Nadella ...,0.95
Martins Izuogbe,Person,WORKED_AT,Polaris Bank,Company,78e53e14fa1732576492::c0000,2023-06-16,Polaris Bank appointed Martins Izuogbe as its new Executive Director of Service & Technology.,0.9
AT&T,Company,INVESTED_IN,Louisiana Tech Foundation,Company,23d43040e04e7fb2aaec::c0000,2023-02-09,AT&T gives Louisiana Tech Foundation $20000 to teach courses in the community.,0.85
